,ML_model,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_f1_score,mean_test_precision,mean_test_recall,param_C,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_penalty,param_solver,params,rank_test_accuracy,rank_test_f1_score,rank_test_precision,rank_test_recall,split0_test_accuracy,split0_test_f1_score,split0_test_precision,split0_test_recall,split1_test_accuracy,split1_test_f1_score,split1_test_precision,split1_test_recall,split2_test_accuracy,split2_test_f1_score,split2_test_precision,split2_test_recall,split3_test_accuracy,split3_test_f1_score,split3_test_precision,split3_test_recall,split4_test_accuracy,split4_test_f1_score,split4_test_precision,split4_test_recall,std_fit_time,std_score_time,std_test_accuracy,std_test_f1_score,std_test_precision,std_test_recall
177,RandomForestClassifier,9.444927406311034,0.9649139881134033,0.6649,0.4395928639383569,0.33781696628366353,0.6301066515208886,,False,balanced,entropy,10,log2,3,10,359,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 359}",195,137,212,255,0.671664167916042,0.44650379106992416,0.34460338101430427,0.6339712918660287,0.6696651674162919,0.4216972878390201,0.33241379310344826,0.5765550239234449,0.675,0.45378151260504196,0.34928848641655885,0.6474820143884892,0.6613306653326664,0.43630308076602825,0.33418367346938777,0.6282973621103117,0.6468234117058529,0.4396825396825397,0.32858837485172004,0.6642685851318945,0.5540670230499918,0.02647107529564914,0.01009790533944657,0.010773482396263377,0.007812830946046335,0.029515361881030443
178,RandomForestClassifier,14.597292232513428,1.3549453735351562,0.6694,0.44505670049071133,0.3427200909093306,0.635378747145824,,False,balanced,entropy,10,log2,3,10,599,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 599}",161,3,139,210,0.6746626686656672,0.4459574468085107,0.34610303830911493,0.6267942583732058,0.6751624187906047,0.4318181818181818,0.3402203856749311,0.5909090909090909,0.6805,0.46166807076663857,0.35584415584415585,0.657074340527578,0.6653326663331666,0.44389027431421446,0.33969465648854963,0.6402877697841727,0.6513256628314157,0.44195356285028015,0.3317307692307692,0.6618705035971223,0.6572149554786849,0.13370841026210958,0.010268348038377105,0.009623719614683755,0.007997452986781936,0.025489279608025925
179,RandomForestClassifier,21.76202998161316,2.2679847240448,0.6689,0.4423676258138153,0.34124035067784364,0.6296297086732527,,False,balanced,entropy,10,log2,3,10,1000,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 1000}",162,25,149,258,0.6781609195402298,0.4486301369863014,0.34933333333333333,0.6267942583732058,0.6691654172913544,0.42031523642732055,0.3314917127071823,0.5741626794258373,0.68,0.4567062818336163,0.35348226018396844,0.645083932853717,0.6663331665832917,0.44370308590492086,0.340153452685422,0.6378896882494005,0.6508254127063532,0.44249201277955275,0.3317365269461078,0.6642685851318945,0.18398604711369343,0.06789512066622808,0.010413459507413212,0.012109374633435773,0.008965881839729422,0.03030660475182482
180,RandomForestClassifier,0.22590417861938478,0.03621358871459961,0.6619,0.4312733745465226,0.33243282062820556,0.6147562361593979,,False,balanced,entropy,10,log2,3,15,10,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 10}",267,352,287,316,0.6511744127936032,0.43527508090614886,0.32885085574572126,0.6435406698564593,0.6601699150424788,0.423728813559322,0.32808398950131235,0.5980861244019139,0.6845,0.4546240276577355,0.3554054054054054,0.6306954436450839,0.6598299149574788,0.40350877192982454,0.318118948824343,0.5515587529976019,0.6538269134567284,0.4392220421393841,0.3317013463892289,0.6498800959232613,0.012811554421428888,0.004928772993198852,0.011817577408410902,0.017040310852523083,0.012367842147496243,0.036293364136325515
181,RandomForestClassifier,0.36586570739746094,0.04893293380737305,0.6602,0.4377063342672867,0.33454004797856257,0.6339303368788224,,False,balanced,entropy,10,log2,3,15,16,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 16}",281,211,274,235,0.664167916041979,0.44462809917355367,0.33964646464646464,0.6435406698564593,0.6616691654172914,0.42480883602378927,0.32938076416337286,0.5980861244019139,0.6685,0.4386113463166808,0.3390052356020942,0.6211031175059952,0.6673336668334167,0.4407064760302775,0.3393782383419689,0.6282973621103117,0.639319659829915,0.4397824397824398,0.3252873563218391,0.6786570743405276,0.014405226717698437,0.001888831510605483,0.010709212159132231,0.006759983350410159,0.006027003015232323,0.026734201132220473
182,RandomForestClassifier,0.5616174221038819,0.07213006019592286,0.6637,0.4327345905214082,0.33398186678173925,0.6152562453386573,,False,balanced,entropy,10,log2,3,15,27,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 27}",232,326,278,314,0.671664167916042,0.43605150214592275,0.34002677376171353,0.6076555023923444,0.665167416291854,0.4143356643356643,0.32644628099173556,0.5669856459330144,0.6665,0.44830438378825477,0.3421717171717172,0.6498800959232613,0.6643321660830416,0.42698548249359525,0.33156498673740054,0.5995203836930456,0.6508254127063532,0.4380032206119163,0.3296969696969697,0.6522781774580336,0.00801132670044138,0.006425952140367151,0.00692135285087253,0.01142712485161851,0.006076772454712581,0.032265333346590035
183,RandomForestClassifier,0.9856168270111084,0.13716235160827636,0.664,0.4406141232271584,0.3376927791040949,0.6344190349156082,,False,balanced,entropy,10,log2,3,15,46,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 46}",223,88,218,226,0.6736631684157921,0.4489451476793249,0.3468057366362451,0.6363636363636364,0.6636681659170415,0.41932700603968937,0.32793522267206476,0.5813397129186603,0.6705,0.45037531276063386,0.3452685421994885,0.6474820143884892,0.6618309154577289,0.4440789473684211,0.3379224030037547,0.6474820143884892,0.6503251625812907,0.4403522818254604,0.33052884615384615,0.6594724220623501,0.07168149994202926,0.04265722513446916,0.008091896369652567,0.011226370311131287,0.007577416341412631,0.02753602154458343
184,RandomForestClassifier,1.7586145877838135,0.19211988449096679,0.6641,0.4403581189427168,0.3377564919377589,0.6334630064369556,,False,balanced,entropy,10,log2,3,15,77,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 77}",221,101,215,236,0.6766616691654173,0.44463519313304717,0.3467202141900937,0.6196172248803827,0.6681659170414792,0.4265975820379966,0.33378378378378376,0.5909090909090909,0.669,0.4519867549668874,0.34513274336283184,0.6546762589928058,0.6593296648324162,0.4376548307184146,0.3337531486146096,0.6354916067146283,0.6473236618309155,0.4409199048374306,0.3293838862559242,0.6666666666666666,0.0388213594009388,0.009082494882589059,0.010024708438463158,0.008373700461779201,0.006880001412319067,0.026681790498243898
185,RandomForestClassifier,2.761985015869141,0.3126500606536865,0.6622,0.44017413681907075,0.3365970693079409,0.63681295308251,,False,balanced,entropy,10,log2,3,15,129,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 129}",259,106,247,196,0.665167416291854,0.44352159468438535,0.33969465648854963,0.638755980861244,0.6711644177911045,0.4268292682926829,0.3356164383561644,0.5861244019138756,0.6665,0.44370308590492086,0.340153452685422,0.6378896882494005,0.6583291645822912,0.44062244062244066,0.3345771144278607,0.645083932853717,0.6498249124562281,0.44620253164556967,0.33293978748524206,0.6762589928057554,0.04531340226972502,0.038725581823482416,0.007426210667941715,0.006904540050086776,0.0028515618372589877,0.028979777238886912
186,RandomForestClassifier,4.6325517177581785,0.48683829307556153,0.6636,0.44038233288695217,0.3374866852557102,0.634416601264443,,False,balanced,entropy,10,log2,3,15,215,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 215}",237,100,224,227,0.6681659170414792,0.44481605351170567,0.34190231362467866,0.6363636363636364,0.663168415792104,0.422945205479452,0.3293333333333333,0.5909090909090909,0.6785,0.4573839662447257,0.3528645833333333,0.6498800959232613,0.663831915957979,0.4352941176470589,0.3350582147477361,0.6211031175059952,0.6443221610805403,0.441476826394344,0.3282710280373832,0.6738609112709832,0.08007062726310425,0.02788029391081132,0.011086544946707667,0.011313734924606814,0.00909151310046659,0.02781725474492774
187,RandomForestClassifier,8.082219457626342,0.8229289531707764,0.6659,0.4412899323136563,0.33906399978012897,0.6324997125744379,,False,balanced,entropy,10,log2,3,15,359,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 359}",180,61,177,245,0.670664667666167,0.44575273338940286,0.3437094682230869,0.6339712918660287,0.6696651674162919,0.42671292281006074,0.3346938775510204,0.5885167464114832,0.6765,0.45308537616229927,0.34986945169712796,0.6426858513189448,0.6598299149574788,0.43521594684385384,0.33290978398983484,0.6282973621103117,0.6528264132066033,0.4456869009584664,0.3341317365269461,0.6690647482014388,0.10009732410729069,0.08692161205568688,0.008448878087408133,0.009250438015902635,0.006627623520552858,0.02605907466926531
188,RandomForestClassifier,14.6655855178833,1.717448091506958,0.6649,0.4416778519547221,0.33878408463077564,0.6353773593565339,,False,balanced,entropy,10,log2,3,15,599,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 599}",195,46,183,212,0.6696651674162919,0.4468619246861924,0.3436293436293436,0.638755980861244,0.6686656671664168,0.42297650130548303,0.332421340629275,0.5813397129186603,0.6815,0.45971162001696353,0.3556430446194226,0.6498800959232613,0.6568284142071036,0.43492586490939045,0.3312421580928482,0.6330935251798561,0.647823911955978,0.44391785150078994,0.3309776207302709,0.6738609112709832,0.4822215362608963,0.16055040508326965,0.01156745798961557,0.01226867431990906,0.009653809426125443,0.030426087463109545
189,RandomForestClassifier,24.526654863357543,2.7675588130950928,0.6645,0.4412294019638757,0.33840553574166854,0.6348995593955457,,False,balanced,entropy,10,log2,3,15,1000,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 1000}",210,66,192,216,0.6696651674162919,0.4440706476030277,0.3424124513618677,0.631578947368421,0.670664667666167,0.4254577157802964,0.3347050754458162,0.583732057416268,0.6795,0.45907172995780593,0.3541666666666667,0.6522781774580336,0.6573286643321661,0.437140509449466,0.3325,0.6378896882494005,0.6453226613306653,0.4404104183109708,0.32823529411764707,0.6690647482014388,0.42603535807179527,0.420257327086907,0.011905487788627576,0.010887395655612347,0.009125972979542102,0.028663857224260826
190,RandomForestClassifier,0.32767038345336913,0.06465139389038085,0.6514,0.42734066940728643,0.32520227311594346,0.623394558993953,,False,balanced,entropy,10,log2,3,20,10,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 20, 'n_estimators': 10}",317,410,351,296,0.6616691654172914,0.432523051131601,0.3329032258064516,0.6172248803827751,0.6491754122938531,0.41206030150753764,0.3170103092783505,0.5885167464114832,0.655,0.43069306930693063,0.3283018867924528,0.6258992805755396,0.6408204102051025,0.4256,0.31932773109243695,0.6378896882494005,0.6503251625812907,0.4358353510895884,0.3284671532846715,0.6474820143884892,0.01986676716632527,0.014778925618670911,0.006876717317318674,0.008329074786946339,0.0060204793319511484,0.020255106816074175
191,RandomForestClassifier,0.442549991607666,0.05292601585388183,0.6602,0.43816970036394814,0.33465241005638546,0.6348907685334986,,False,balanced,entropy,10,log2,3,20,16,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 20, 'n_estimators': 16}",281,192,273,221,0.6696651674162919,0.4384027187765505,0.33992094861660077,0.6172248803827751,0.6546726636681659,0.43033800494641383,0.3283018867924528,0.6244019138755981,0.6705,0.44668345927791775,0.34366925064599485,0.6378896882494005,0.6568284142071036,0.4339933993399339,0.33081761006289306,0.6306954436450839,0.6493246623311656,0.44143426294820715,0.3305489260143198,0.6642685851318945,0.02772820341422582,0.006616375282963732,0.008436428764046586,0.005691912615182257,0.006015855749005889,0.016195806716973283
192,RandomForestClassifier,0.6564892768859864,0.08225779533386231,0.6591,0.43321277934958896,0.3318871581597957,0.6243515977648504,,False,balanced,entropy,10,log2,3,20,27,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 20, 'n_estimators': 27}",288,314,291,294,0.6596701649175413,0.4339152119700748,0.332484076433121,0.6244019138755981,0.663168415792104,0.422945205479452,0.3293333333333333,0.5909090909090909,0.6725,0.44725738396624476,0.3450520833333333,0.6354916067146283,0.6588294147073537,0.4278523489932886,0.32903225806451614,0.6115107913669064,0.6413206603301651,0.4340962904498816,0.3235294117647059,0.6594724220623501,0.02389497104477167,0.00742388739338083,0.010123888384078461,0.008157455607135908,0.007185546671331957,0.022981393459880057
193,RandomForestClassifier,1.0087782382965087,0.10811834335327149,0.6586,0.43865300106694904,0.3341565453992851,0.6392033917363716,,False,balanced,entropy,10,log2,3,20,46,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 20, 'n_estimators': 46}",293,173,277,182,0.6621689155422289,0.4413223140495867,0.3371212121212121,0.638755980861244,0.6666666666666666,0.4333050127442651,0.3359683794466403,0.6100478468899522,0.668,0.4457429048414024,0.3418693982074264,0.6402877697841727,0.6583291645822912,0.4341342170671085,0.33164556962025316,0.6282973621103117,0.6378189094547274,0.43875968992248066,0.3241695303550974,0.6786570743405276,0.08258262993269844,0.007394727934976537,0.010935431275716287,0.004613705354457184,0.005959170612497898,0.022479073630719573
194,RandomForestClassifier,1.725054931640625,0.1929609775543213,0.6638,0.4415325860423189,0.33806980752019944,0.6368091827016855,,False,balanced,entropy,10,log2,3,20,77,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 20, 'n_estimators': 77}",227,53,207,199,0.6671664167916042,0.4422110552763819,0.3402061855670103,0.631578947368421,0.6666666666666666,0.43234042553191493,0.33553500660501984,0.6076555023923444,0.6755,0.45139475908706683,0.34856396866840733,0.6402877697841727,0.6613306653326664,0.44187963726298435,0.33668341708542715,0.6426858513189448,0.6483241620810405,0.43984063745019913,0.32935560859188545,0.6618705035971223,0.035265674594254656,0.026501452533816198,0.008965787064939387,0.006086751409474114,0.006307815016875858,0.017618770604507297
195,RandomForestClassifier,3.068333292007446,0.33151674270629883,0.6628,0.4392154497499409,0.33653707275692407,0.6329813850355122,,False,balanced,entropy,10,log2,3,20,129,,,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 20, 'n_estimators': 129}",250,150,248,239,0.6656671664167916,0.44110275689223055,0.33889602053915274,0.631578947368421,0.671664167916042,0.4272013949433304,0.33607681755829905,0.5861244019138756,0.673,0.4540901502504173,0.34827144686299616,0.6522781774580336,0.6573286643321661,0.43435177539223785,0.33123425692695213,0.6306954436450839,0.6463231615807904,0.4393338620142743,0.3281990521327014,0.6642685851318945,0.08095336624380209,0.02697293681756909,0.009921174533160186,0.008864396436219285,0.0069436087997219,0.026663199466760205
