,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,ML_model,param_C,param_max_iter,param_penalty,param_solver
30,1.4685404300689697,0.05751534029804337,0.04681596755981445,0.0022794091895246113,True,balanced,entropy,157,sqrt,20,100,173,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 157), ('max_features', 'sqrt'), ('min_samples_leaf', 20), ('min_samples_split', 100), ('n_estimators', 173), ('random_state', 42)])",1.6813239677092264,1.6729002618286952,1.7141372505954207,1.6877474091369657,1.7003571088115135,1.6912931996163643,0.014520767820158752,60,RandomForestClassifier,,,,
31,0.5304474830627441,0.024877327742674822,0.01919069290161133,0.0006289766368848633,False,balanced,gini,101,log2,20,92,56,42,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 101), ('max_features', 'log2'), ('min_samples_leaf', 20), ('min_samples_split', 92), ('n_estimators', 56), ('random_state', 42)])",1.690866397406619,1.6500306484277032,1.7727536702638251,1.6255073248261034,1.6583996687726086,1.679511541939372,0.051096608447192986,82,RandomForestClassifier,,,,
32,20.90162100791931,1.729985595153877,0.630346155166626,0.06989199210263206,True,balanced,gini,112,sqrt,1,92,2000,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 112), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 92), ('n_estimators', 2000), ('random_state', 42)])",1.675566292018041,1.6512831188405013,1.7589188429442926,1.6904134393263113,1.672179810556515,1.6896723007371321,0.03680850139696288,67,RandomForestClassifier,,,,
33,3.2536606311798097,0.16528324066048702,0.1255120277404785,0.01324365204211397,True,balanced,entropy,200,log2,20,2,409,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 200), ('max_features', 'log2'), ('min_samples_leaf', 20), ('min_samples_split', 2), ('n_estimators', 409), ('random_state', 42)])",1.666716970825016,1.6622117655466286,1.7051815255742717,1.7172835816328857,1.6890272223175768,1.6880842131792757,0.021315501719576836,70,RandomForestClassifier,,,,
34,0.12536163330078126,0.010071852105347008,0.01261138916015625,0.002313730950590136,True,balanced,gini,108,sqrt,1,48,10,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 108), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 48), ('n_estimators', 10), ('random_state', 42)])",1.559829040761218,1.6378221885409652,1.579926220144741,1.6069544845719363,1.4540324917464689,1.567712885153066,0.06259356188232144,96,RandomForestClassifier,,,,
35,22.837887001037597,1.813705659418173,1.0989294528961182,0.13011999487060757,True,balanced,gini,96,log2,19,72,2000,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 96), ('max_features', 'log2'), ('min_samples_leaf', 19), ('min_samples_split', 72), ('n_estimators', 2000), ('random_state', 42)])",1.683190485566081,1.66786303740969,1.7256799447456044,1.698356844358722,1.7128300946469963,1.6975840813454188,0.0205569048086378,44,RandomForestClassifier,,,,
36,35.85276012420654,9.33715673477618,0.6898122310638428,0.09374923830132602,True,balanced,entropy,80,sqrt,12,100,2000,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 12), ('min_samples_split', 100), ('n_estimators', 2000), ('random_state', 42)])",1.68905456508539,1.6820170762135935,1.7055280798264552,1.715417063776031,1.6979829473387256,1.6979999464480389,0.011794075171918592,42,RandomForestClassifier,,,,
37,25.12213020324707,2.2900651999069197,0.7695363998413086,0.04835942607629838,True,balanced,gini,139,sqrt,9,2,2000,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 139), ('max_features', 'sqrt'), ('min_samples_leaf', 9), ('min_samples_split', 2), ('n_estimators', 2000), ('random_state', 42)])",1.6838835940704484,1.688495203176959,1.741405665446676,1.7007827241240072,1.7082184855404858,1.7045571344717154,0.020351151366812672,24,RandomForestClassifier,,,,
38,35.62912859916687,10.443121881842762,0.65000319480896,0.09749275866218195,True,balanced,entropy,165,log2,9,100,2000,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 165), ('max_features', 'log2'), ('min_samples_leaf', 9), ('min_samples_split', 100), ('n_estimators', 2000), ('random_state', 42)])",1.6702889171749757,1.6509365645883178,1.7337024108383259,1.7265585181384049,1.6705807858915336,1.6904134393263117,0.0332780887373758,65,RandomForestClassifier,,,,
39,15.899395227432251,1.2483672204137166,0.5650999546051025,0.0472372962371277,True,balanced,gini,120,log2,4,100,2000,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 120), ('max_features', 'log2'), ('min_samples_leaf', 4), ('min_samples_split', 100), ('n_estimators', 2000), ('random_state', 42)])",1.6660512050884617,1.6561348783710723,1.7237070230606257,1.6847621674632494,1.6955570675734404,1.68524246831137,0.02367150183289506,76,RandomForestClassifier,,,,
